City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Tulum,MX,78.26,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
87,Waingapu,ID,84.63,few clouds,-9.6567,120.2641,Pondok Wisata Elim
88,Najran,SA,83.05,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
92,Nador,MA,77.25,few clouds,35.174,-2.9287,Hôtel La Giralda
93,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
98,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
104,Guerrero Negro,MX,75.18,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
110,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Scoop Guest House
111,Sabha,LY,80.01,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
112,Viransehir,TR,78.53,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
121,Keti Bandar,PK,84.06,very heavy rain,24.1447,67.4497,Haji laloo memon house
135,Vrangel,RU,77.59,broken clouds,42.7297,133.0839,"Отель ""БАЛИ"""
148,Porbandar,IN,84.18,broken clouds,21.6422,69.6093,Lords Inn Porbandar
152,Benjamin Hill,MX,75.78,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
153,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
155,Opelousas,US,75.09,clear sky,30.5335,-92.0815,"Holiday Inn Express & Suites Opelousas, an IHG Hotel"
159,Meulaboh,ID,83.52,overcast clouds,4.1363,96.1285,Kost Pria
164,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
166,Carmen,MX,77.92,overcast clouds,18.6333,-91.8333,Hotel Lossandes
167,Gibara,CU,81.72,clear sky,21.1097,-76.1317,Sol y Mar
168,Sile,TR,76.57,few clouds,41.1754,29.6133,Phellos Suites
177,Lichuan,CN,85.37,overcast clouds,30.3,108.85,Yuanlai Homestay
180,Pestretsy,RU,75.34,overcast clouds,55.7531,49.6545,Motel' Mosha
182,Nha Trang,VN,89.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
187,Republic,US,80.82,clear sky,37.12,-93.4802,AmericInn by Wyndham Republic
188,Pemangkat,ID,86.27,few clouds,1.1667,108.9667,Hotel Duyung Permai 2
189,Pathein,MM,77.32,overcast clouds,16.7833,94.7333,Pathein Hotel
