Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Richards Bay,ZA,-28.783,32.0377,67.01,86,60,11.7,broken clouds
135,Vrangel,RU,42.7297,133.0839,77.59,82,57,13.22,broken clouds
136,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,100,20,8.66,few clouds
137,Nikolskoye,RU,59.7035,30.7861,60.87,77,100,3.65,overcast clouds
138,Waipawa,NZ,-41.4122,175.5153,44.96,92,100,19.66,light rain
139,Pangnirtung,CA,66.1451,-65.7125,42.08,93,97,1.21,overcast clouds
140,Maldonado,UY,-34.6667,-54.9167,48.22,92,65,3.65,broken clouds
141,Saldanha,ZA,-33.0117,17.9442,50.05,84,50,10.8,scattered clouds
142,Diego De Almagro,CL,-26.3667,-70.05,53.33,36,14,2.08,few clouds
143,Nikki,BJ,9.9401,3.2108,70.77,88,100,7.31,overcast clouds
144,Paamiut,GL,61.994,-49.6678,44.24,82,26,11.16,scattered clouds
145,Cody,US,44.5263,-109.0565,65.64,63,0,0.0,clear sky
146,Obo,CF,5.3998,26.4869,66.13,99,99,3.56,overcast clouds
147,Yellowknife,CA,62.456,-114.3525,59.52,88,75,0.0,broken clouds
148,Porbandar,IN,21.6422,69.6093,84.18,84,75,13.8,broken clouds
149,Caravelas,BR,-17.7125,-39.2481,72.93,76,5,9.98,clear sky
150,Namwala,ZM,-15.7504,26.4384,55.4,49,0,4.43,clear sky
151,Lappeenranta,FI,61.0587,28.1887,51.85,93,0,3.44,clear sky
152,Benjamin Hill,MX,30.1667,-111.1,75.78,69,89,14.05,overcast clouds
153,Vaini,TO,-21.2,-175.2,78.96,94,20,9.22,few clouds
154,Kyshtovka,RU,56.555,76.6271,66.96,63,19,10.76,few clouds
155,Opelousas,US,30.5335,-92.0815,75.09,100,0,0.0,clear sky
156,Muros,ES,42.7762,-9.0603,63.68,94,3,4.5,clear sky
157,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,100,17.27,overcast clouds
158,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,75,13.8,broken clouds
159,Meulaboh,ID,4.1363,96.1285,83.52,69,95,3.62,overcast clouds
160,Ajaccio,FR,42.0,8.9167,69.85,78,0,6.91,clear sky
161,Beringovskiy,RU,63.05,179.3167,49.64,50,63,14.12,broken clouds
162,Orikhove,UA,45.1294,33.6318,74.95,49,0,10.27,clear sky
163,Suntar,RU,62.1444,117.6319,67.64,48,95,3.0,overcast clouds
164,Nhulunbuy,AU,-12.2333,136.7667,84.81,58,20,18.41,few clouds
165,Saskylakh,RU,71.9167,114.0833,58.41,54,100,9.8,overcast clouds
166,Carmen,MX,18.6333,-91.8333,77.92,82,100,9.6,overcast clouds
167,Gibara,CU,21.1097,-76.1317,81.72,83,4,15.41,clear sky
168,Sile,TR,41.1754,29.6133,76.57,77,17,7.0,few clouds
169,Verkhoyansk,RU,67.5447,133.385,72.77,45,10,12.84,clear sky
170,Tonj,SS,7.2737,28.6822,69.62,97,100,5.53,light rain
171,Mbuyapey,PY,-26.2,-56.75,57.54,95,99,3.36,overcast clouds
172,Pelotas,BR,-31.7719,-52.3425,53.85,86,100,4.0,overcast clouds
173,Bullas,ES,38.0467,-1.6723,67.35,68,0,1.19,clear sky
174,Chokurdakh,RU,70.6333,147.9167,65.43,29,97,17.18,overcast clouds
175,Rawson,AR,-43.3002,-65.1023,42.98,91,100,2.26,light rain
176,Marienburg,PL,54.0359,19.0266,62.11,77,80,1.77,broken clouds
177,Lichuan,CN,30.3,108.85,85.37,54,95,4.23,overcast clouds
178,Joutseno,FI,61.118,28.5076,51.85,99,29,5.19,scattered clouds
179,Kyzyl-Suu,KG,42.3414,78.0056,69.17,54,25,7.14,scattered clouds
180,Pestretsy,RU,55.7531,49.6545,75.34,59,96,3.15,overcast clouds
181,Povenets,RU,62.8487,34.8262,56.34,74,43,8.16,scattered clouds
182,Nha Trang,VN,12.25,109.1833,89.6,89,100,5.64,overcast clouds
183,Narsaq,GL,60.9167,-46.05,41.22,72,10,4.21,clear sky
184,Pitimbu,BR,-7.4706,-34.8086,70.39,66,39,11.3,scattered clouds
185,Tautira,PF,-17.7333,-149.15,74.61,72,67,24.4,broken clouds
186,Quibdo,CO,5.6947,-76.6611,73.47,98,100,1.1,overcast clouds
187,Republic,US,37.12,-93.4802,80.82,68,0,6.91,clear sky
188,Pemangkat,ID,1.1667,108.9667,86.27,62,11,8.84,few clouds
189,Pathein,MM,16.7833,94.7333,77.32,93,100,7.27,overcast clouds
190,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,98,10.04,moderate rain
191,Guanica,PR,17.9716,-66.908,83.05,82,99,7.7,overcast clouds
192,Buala,SB,-8.145,159.5921,81.79,76,100,2.62,light rain
193,Victoria,HK,22.2855,114.1577,84.38,89,60,5.99,moderate rain
194,Upernavik,GL,72.7868,-56.1549,41.58,82,100,3.65,overcast clouds
195,Krasnoselkup,RU,65.7,82.4667,72.3,63,58,8.37,broken clouds
196,Monkey Bay,MW,-14.0728,34.9201,67.69,62,0,10.22,clear sky
197,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
198,Cascais,PT,38.6979,-9.4215,66.51,71,5,3.0,clear sky
199,Lampitak,PH,6.4322,125.0525,77.09,77,98,2.06,overcast clouds
200,Nome,US,64.5011,-165.4064,50.07,81,100,14.97,overcast clouds
201,Verkhnyaya Toyma,RU,62.2349,44.9985,58.71,87,100,4.74,overcast clouds
202,Kodinsk,RU,58.6881,99.1844,71.33,55,19,4.79,light rain
203,Challapata,BO,-18.9,-66.7667,39.15,15,97,1.3,overcast clouds
204,Carmo Do Paranaiba,BR,-19.0008,-46.3161,63.88,45,4,2.06,clear sky
205,Solnechnyy,RU,50.7214,136.6319,66.07,98,100,0.67,overcast clouds
206,Nieuw Nickerie,SR,5.95,-56.9833,79.43,83,21,10.29,few clouds
207,Ryazanovskiy,RU,55.55,39.4333,63.91,93,100,6.06,light rain
208,Umm Lajj,SA,25.0213,37.2685,86.86,80,57,8.61,broken clouds
209,Souillac,MU,-20.5167,57.5167,64.78,94,40,3.44,scattered clouds
210,Omboue,GA,-1.5746,9.2618,70.93,79,99,7.16,overcast clouds
211,Chuy,UY,-33.6971,-53.4616,47.16,88,6,7.23,clear sky
212,Liyang,CN,29.7057,118.2862,99.21,42,71,1.28,broken clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,47.08,85,100,8.99,overcast clouds
214,Skibotn,NO,69.3913,20.2679,51.44,90,100,5.06,overcast clouds
215,Esso,RU,55.9333,158.7,77.4,52,35,4.45,light rain
